Unnamed: 0,0,1,2,3,4,5,6,Model,baseS1,SignS1,baseS2,SignS2,diff_base1_emb,diff_base2_emb,indTarget,diff_base1,diff_base2
12,12,1,-0.0755657106637954,-0.0645604729652404,2,-0.066218115389347,-0.0432858690619468,GPT2 WordLevel,-0.0755657106637954,-0.0645604729652404,-0.066218115389347,-0.0432858690619468,0.145637983178894,0.3463137872856085,12,0.429122807017544,0.182782537739698
13,13,1,-0.0865450948476791,-0.0901027396321296,2,-0.0085570635274052,-0.0316230580210685,GPT2 WordLevel,-0.0865450948476791,-0.0901027396321296,-0.0085570635274052,-0.0316230580210685,-0.04110741100592727,-2.695550222315308,13,-0.0181818181818182,0.232142857142857
14,14,1,-0.0632053390145301,-0.0564756691455841,2,-0.0913580209016799,-0.0941005051136016,GPT2 WordLevel,-0.0632053390145301,-0.0564756691455841,-0.0913580209016799,-0.0941005051136016,0.1064731235346896,-0.0300190851865452,14,0.411485524442335,0.137579169598874
15,15,1,-0.1048436686396598,-0.1224707067012786,2,-0.0334920324385166,-0.0438393875956535,GPT2 WordLevel,-0.1048436686396598,-0.1224707067012786,-0.0334920324385166,-0.0438393875956535,-0.16812687204032964,-0.30894975323256885,15,0.107131435881036,0.338559322033898
16,16,1,-0.0982204750180244,-0.0888352841138839,2,-0.0637195482850074,-0.0446635782718658,GPT2 WordLevel,-0.0982204750180244,-0.0888352841138839,-0.0637195482850074,-0.0446635782718658,0.09555228583875437,0.29906002986567437,16,0.207221860767729,0.250615763546798
17,17,1,-0.0732021629810333,-0.0603109896183013,2,-0.0918926298618316,-0.0907397121191024,GPT2 WordLevel,-0.0732021629810333,-0.0603109896183013,-0.0918926298618316,-0.0907397121191024,0.1761037220453732,0.01254635703062053,17,0.108139200460167,0.266078184110971
18,18,1,-0.1165222078561782,-0.1134296804666519,2,-0.1089740544557571,-0.0996395722031593,GPT2 WordLevel,-0.1165222078561782,-0.1134296804666519,-0.1089740544557571,-0.0996395722031593,0.02654024023766665,0.08565784121015288,18,0.017825311942959,0.109090909090909
19,19,1,-0.0906243771314621,-0.0868934541940689,2,-0.0444401428103446,-0.0332662872970104,GPT2 WordLevel,-0.0906243771314621,-0.0868934541940689,-0.0444401428103446,-0.0332662872970104,0.04116908778287135,0.2514360847358302,19,0.254545454545455,0.191465677179963
20,20,1,-0.1327414214611053,-0.1069496721029281,2,-0.0925704687833786,-0.0732602253556251,GPT2 WordLevel,-0.1327414214611053,-0.1069496721029281,-0.0925704687833786,-0.0732602253556251,0.19430068681112062,0.20860047141967952,20,0.16271186440678,0.207407407407407
21,21,1,-0.1237658411264419,-0.1103394031524658,2,-0.1098869517445564,-0.0937668830156326,GPT2 WordLevel,-0.1237658411264419,-0.1103394031524658,-0.1098869517445564,-0.0937668830156326,0.10848258171864521,0.1466968413719999,21,0.114102564102564,0.316666666666667
22,22,1,-0.1015086472034454,-0.0967026725411415,2,-0.0211669839918613,-0.0147555330768227,GPT2 WordLevel,-0.1015086472034454,-0.0967026725411415,-0.0211669839918613,-0.0147555330768227,0.04734547050628792,0.3028986518581863,22,0.252902757619739,-0.0201471058522545
23,23,1,-0.1312208622694015,-0.1458841562271118,2,-0.0545852109789848,-0.0582501180469989,GPT2 WordLevel,-0.1312208622694015,-0.1458841562271118,-0.0545852109789848,-0.0582501180469989,-0.11174514253386009,-0.06714102597176157,23,0.124113475177305,0.155945419103314
24,24,1,-0.0943294912576675,-0.0539156459271907,2,-0.0950455516576767,-0.0671013668179512,GPT2 WordLevel,-0.0943294912576675,-0.0539156459271907,-0.0950455516576767,-0.0671013668179512,0.4284327710417053,0.2940083397103254,24,0.297619047619048,0.516666666666667
25,25,1,-0.0648402348160743,-0.0634216517210006,2,-0.0705963969230651,-0.066614493727684,GPT2 WordLevel,-0.0648402348160743,-0.0634216517210006,-0.0705963969230651,-0.066614493727684,0.021878130131663624,0.05640377369004437,25,0.129761904761905,-0.068609022556391
26,26,1,-0.0435049384832382,-0.0291826725006103,2,-0.0684510990977287,-0.0672840848565101,GPT2 WordLevel,-0.0435049384832382,-0.0291826725006103,-0.0684510990977287,-0.0672840848565101,0.32921011917178217,0.017048875132778075,26,0.0784313725490196,0.0717022441160372
27,27,1,-0.0642333626747131,-0.0606780871748924,2,-0.0744783207774162,-0.0716414377093315,GPT2 WordLevel,-0.0642333626747131,-0.0606780871748924,-0.0744783207774162,-0.0716414377093315,0.05534935976846047,0.03809005141996866,27,-0.0392156862745098,0.128946493851778
28,28,1,-0.0578426346182823,-0.0573281198740005,2,-0.0285462066531181,-0.0102591104805469,GPT2 WordLevel,-0.0578426346182823,-0.0573281198740005,-0.0285462066531181,-0.0102591104805469,0.008895077958969284,0.6406138789222876,28,0.143633540372671,0.12750626566416
29,29,1,-0.0569317601621151,-0.0494324080646038,2,-0.0314794741570949,-0.0245116874575614,GPT2 WordLevel,-0.0569317601621151,-0.0494324080646038,-0.0314794741570949,-0.0245116874575614,0.13172528086531388,0.22134380850078744,29,0.292529817953547,0.0562962962962963
30,30,1,-0.0769777745008468,-0.0554729774594306,2,-0.0668223649263382,-0.0582614801824092,GPT2 WordLevel,-0.0769777745008468,-0.0554729774594306,-0.0668223649263382,-0.0582614801824092,0.2793637147976996,0.12811406410662218,30,0.139423076923077,0.142857142857143
31,31,1,-0.0423277914524078,0.0295019596815109,2,-0.0179039314389228,-0.0307385716587305,GPT2 WordLevel,-0.0423277914524078,0.0295019596815109,-0.0179039314389228,-0.0307385716587305,1.6969879284791434,-0.7168615599088725,31,0.262033898305085,0.0842857142857143
