,layer,wordID,meaningID,target,baseS,SignS,error,meanError,standardError,Model,diff_base_emb,diff_base_human
2118,12,35,1,estado,-0.0764845833182334,0.007522253319621,0.0840068366378545,0.0313646246362081,0.0035394602982381,GPT-2,0.08400683663785441,0.192006269592476
2119,0,35,2,estado,0.0707233697175979,0.0707233697175979,0.0,0.0,0.0,GPT-2,0.0,0.187062937062937
2120,1,35,2,estado,0.0049980301409959,0.010191848501563,0.005193818360567,0.008103385602342,0.0017484787756044,GPT-2,0.005193818360567099,0.187062937062937
2121,2,35,2,estado,-0.0127144493162631,-0.0044551249593496,0.0082593243569135,0.0127489008405741,0.0015859422778035,GPT-2,0.0082593243569135,0.187062937062937
2122,3,35,2,estado,0.0006862562149763,0.0098755974322557,0.0091893412172794,0.0102653523332419,0.0013534774855699,GPT-2,0.0091893412172794,0.187062937062937
2123,4,35,2,estado,0.0016934648156166,0.0074250567704439,0.0057315919548273,0.0046862737731413,0.0012720443580039,GPT-2,0.0057315919548273,0.187062937062937
2124,5,35,2,estado,-0.0050437059253454,0.0124748852103948,0.0175185911357402,0.0040495258339859,0.0012810705161409,GPT-2,0.0175185911357402,0.187062937062937
2125,6,35,2,estado,0.0103997476398944,0.0155028440058231,0.0051030963659286,0.0022099248054338,0.0013141334037509,GPT-2,0.0051030963659287,0.187062937062937
2126,7,35,2,estado,0.0008956789970397,0.0240995902568101,0.0232039112597703,0.007077143220429,0.0017524338287417,GPT-2,0.0232039112597704,0.187062937062937
2127,8,35,2,estado,-0.0071646049618721,0.0253950450569391,0.0325596500188112,0.0133599026247541,0.0021261208536261,GPT-2,0.0325596500188112,0.187062937062937
2128,9,35,2,estado,-0.0064398907124996,0.040470153093338,0.0469100438058376,0.020010190956453,0.0026230844050259,GPT-2,0.0469100438058376,0.187062937062937
2129,10,35,2,estado,-0.011769376695156,0.047285571694374,0.0590549483895301,0.0254147091157179,0.0033019749057338,GPT-2,0.05905494838953,0.187062937062937
2130,11,35,2,estado,0.0019155666232109,0.0543880239129066,0.0524724572896957,0.0258183518939829,0.0033397806915065,GPT-2,0.0524724572896957,0.187062937062937
2131,12,35,2,estado,-0.0058994442224502,0.0554841235280036,0.0613835677504539,0.0313646246362081,0.0035394602982381,GPT-2,0.0613835677504538,0.187062937062937
2132,0,36,1,pastor,0.4633264541625976,0.4633264541625976,0.0,0.0,0.0,GPT-2,0.0,0.194078947368421
2133,1,36,1,pastor,0.0612530671060085,0.0729784443974495,0.0117253772914409,0.008103385602342,0.0017484787756044,GPT-2,0.011725377291440992,0.194078947368421
2134,2,36,1,pastor,0.0271250270307064,0.0507387928664684,0.023613765835762,0.0127489008405741,0.0015859422778035,GPT-2,0.023613765835762003,0.194078947368421
2135,3,36,1,pastor,-0.0090239234268665,0.0021009244956076,0.0111248479224741,0.0102653523332419,0.0013534774855699,GPT-2,0.0111248479224741,0.194078947368421
