,layer,wordID,meaningID,target,baseS,SignS,error,meanError,standardError,Model,diff_base_emb,diff_base_human
2006,4,31,1,batería,-0.1734284609556198,-0.1340547651052475,0.0393736958503723,0.0036490652313891,0.0012809097812257,GPT2,0.22703133980095694,0.262033898305085
2007,5,31,1,batería,-0.1939100325107574,-0.1491425335407257,0.0447674989700317,0.0027583396121701,0.0013073444123684,GPT2,0.23086736869866778,0.262033898305085
2008,6,31,1,batería,-0.1868560314178466,-0.1549674272537231,0.0318886041641235,0.0009515941777127,0.0012896677425232,GPT2,0.17065868263473047,0.262033898305085
2009,7,31,1,batería,-0.2041176259517669,-0.1692631542682647,0.0348544716835022,0.0058697552539091,0.0016660939255716,GPT2,0.1707567953574884,0.262033898305085
2010,8,31,1,batería,-0.2056880444288253,-0.1399476528167724,0.0657403916120529,0.0124115632311936,0.0020811193334741,GPT2,0.31961211841265375,0.262033898305085
2011,9,31,1,batería,-0.1938479542732238,-0.1328629553318023,0.0609849989414215,0.019153790508813,0.0025637835686533,GPT2,0.3146022312696923,0.262033898305085
2012,10,31,1,batería,-0.1606208235025406,-0.093104287981987,0.0675165355205535,0.0245484481714269,0.0032758754261026,GPT2,0.4203473375884271,0.262033898305085
2013,11,31,1,batería,-0.117543801665306,-0.0597123205661773,0.0578314810991287,0.0249562705272531,0.0033842132704647,GPT2,0.4919994102606784,0.262033898305085
2014,12,31,1,batería,-0.1140999421477317,-0.0460635423660278,0.0680363997817039,0.0303520350122546,0.0035309770269601,GPT2,0.5962877675574392,0.262033898305085
2015,0,31,2,batería,0.5296258926391602,0.5296258926391602,0.0,0.0,0.0,GPT2,0.0,0.0842857142857143
2016,1,31,2,batería,-0.0331085585057735,0.0040613440796732,0.0371699025854468,0.0072556414364024,0.0018334550467256,GPT2,1.1226674993707437,0.0842857142857143
2017,2,31,2,batería,-0.0851337015628814,-0.057447150349617,0.0276865512132644,0.0117586309813517,0.0015758407862501,GPT2,0.3252125856740128,0.0842857142857143
2018,3,31,2,batería,-0.1062968224287033,-0.0854765176773071,0.0208203047513961,0.0093377059315668,0.001337954014567,GPT2,0.19586949332715042,0.0842857142857143
2019,4,31,2,batería,-0.1224616393446922,-0.1158182844519615,0.0066433548927307,0.0036490652313891,0.0012809097812257,GPT2,0.054248456318894106,0.0842857142857143
2020,5,31,2,batería,-0.1295098513364792,-0.1152899861335754,0.0142198652029037,0.0027583396121701,0.0013073444123684,GPT2,0.10979755637244303,0.0842857142857143
2021,6,31,2,batería,-0.1217559725046157,-0.1136469990015029,0.0081089735031127,0.0009515941777127,0.0012896677425232,GPT2,0.06660021135969654,0.0842857142857143
2022,7,31,2,batería,-0.1312226802110672,-0.1256485730409622,0.0055741071701049,0.0058697552539091,0.0016660939255716,GPT2,0.04247822983907391,0.0842857142857143
2023,8,31,2,batería,-0.1227695941925048,-0.115251675248146,0.0075179189443588,0.0124115632311936,0.0020811193334741,GPT2,0.06123600060590388,0.0842857142857143
2024,9,31,2,batería,-0.103117361664772,-0.1045081168413162,-0.0013907551765441,0.019153790508813,0.0025637835686533,GPT2,-0.01348710977561127,0.0842857142857143
2025,10,31,2,batería,-0.0585896521806716,-0.0648444220423698,-0.0062547698616981,0.0245484481714269,0.0032758754261026,GPT2,-0.10675553837408874,0.0842857142857143
2026,11,31,2,batería,-0.0204370394349098,-0.0264487098902463,-0.0060116704553365,0.0249562705272531,0.0033842132704647,GPT2,-0.29415564198929844,0.0842857142857143
2027,12,31,2,batería,-0.0039082821458578,-0.0116140414029359,-0.0077057592570781,0.0303520350122546,0.0035309770269601,GPT2,-1.9716486603315126,0.0842857142857143
2028,0,32,1,izquierda,0.3563189506530761,0.3563189506530761,0.0,0.0,0.0,GPT2,0.0,0.217194570135747
2029,1,32,1,izquierda,-0.0580235868692398,0.026831867173314,0.0848554540425539,0.0072556414364024,0.0018334550467256,GPT2,1.4624303429186736,0.217194570135747
2030,2,32,1,izquierda,-0.0760522335767746,-0.0114616332575678,0.0645906003192067,0.0117586309813517,0.0015758407862501,GPT2,0.8492926148448053,0.217194570135747
2031,3,32,1,izquierda,-0.0808357447385788,-0.0161848179996013,0.0646509267389774,0.0093377059315668,0.001337954014567,GPT2,0.7997814203117359,0.217194570135747
2032,4,32,1,izquierda,-0.100100964307785,-0.0369073078036308,0.0631936565041542,0.0036490652313891,0.0012809097812257,GPT2,0.6312991781962238,0.217194570135747
2033,5,32,1,izquierda,-0.0966348275542259,-0.0457342341542243,0.0509005934000015,0.0027583396121701,0.0013073444123684,GPT2,0.5267313523319439,0.217194570135747
2034,6,32,1,izquierda,-0.0902672111988067,-0.0568676739931106,0.0333995372056961,0.0009515941777127,0.0012896677425232,GPT2,0.37000741201737297,0.217194570135747
