"indTarget","oracion","Sign1","Sign2","otro_sum_1","otro_sum_2","baseS1","baseS2","diff","umbral","diff_base1","diff_base2"
10,"Carlos tuvo que ir a comprar un mango a último momento.",0.8125,0.508196721311475,0,0,0.66,0.24,0.304303278688525,FALSE,0.1525,0.268196721311475
11,"Inés agarró la copa mientras el resto lo miraban felizmente.",0.555555555555556,0.755102040816326,0.158730158730159,0.0816326530612245,0.410714285714286,0.464285714285714,0.199546485260771,FALSE,0.14484126984127,0.290816326530612
12,"A medida que avanzaba iba viendo cómo el arco se hacía más grande.",0.78,0.744186046511628,0.02,0,0.350877192982456,0.56140350877193,0.0358139534883721,FALSE,0.429122807017544,0.182782537739698
13,"Cuando a José le tocó el momento del penal se lo notaba nervioso.",0.945454545454545,0.232142857142857,0.0545454545454545,0.0535714285714286,0.963636363636364,0,0.713311688311688,TRUE,-0.0181818181818182,0.232142857142857
14,"Al ver el pico tan cerca le pareció más grande de lo que esperaba.",0.86046511627907,0.362068965517241,0.116279069767442,0.103448275862069,0.448979591836735,0.224489795918367,0.498396150761828,FALSE,0.411485524442335,0.137579169598874
15,"No había quedado nadie alrededor del cabo cuando cayó el atardecer.",0.886792452830189,0.525,0,0,0.779661016949153,0.186440677966102,0.361792452830189,FALSE,0.107131435881036,0.338559322033898
16,"Hacía mucho tiempo que tenía a esa sierra en mente%2C era su objetivo.",0.60377358490566,0.767857142857143,0.0188679245283019,0,0.396551724137931,0.517241379310345,0.164083557951483,FALSE,0.207221860767729,0.250615763546798
17,"El período de cólera tuvo graves consecuencias para Darío.",0.649122807017544,0.692307692307692,0.0526315789473684,0.0576923076923077,0.540983606557377,0.426229508196721,0.0431848852901484,FALSE,0.108139200460167,0.266078184110971
18,"Victoria se descuidó un minuto y no vió cuando el buzo cayó al agua.",0.745098039215686,0.345454545454545,0.0588235294117647,0.0363636363636364,0.727272727272727,0.236363636363636,0.399643493761141,TRUE,0.017825311942959,0.109090909090909
19,"Era el único sostén que tenía Laura.",0.454545454545455,0.755102040816326,0.113636363636364,0.122448979591837,0.2,0.563636363636364,0.300556586270872,FALSE,0.254545454545455,0.191465677179963
20,"Lucía supo que todo había terminado cuando el taco tocó el suelo.",0.76271186440678,0.407407407407407,0.101694915254237,0.166666666666667,0.6,0.2,0.355304456999372,FALSE,0.16271186440678,0.207407407407407
21,"Mientras Héctor la miraba fijamente%2C la pluma cayó al suelo.",0.730769230769231,0.533333333333333,0.0192307692307692,0.0666666666666667,0.616666666666667,0.216666666666667,0.197435897435897,FALSE,0.114102564102564,0.316666666666667
22,"El viento sopló y todas las hojas salieron volando por el aire.",0.403846153846154,0.677966101694915,0.153846153846154,0.23728813559322,0.150943396226415,0.69811320754717,0.274119947848761,TRUE,0.252902757619739,-0.0201471058522545
23,"Clara estaba seguro de que su regla no estaba rota.",0.957446808510638,0.192982456140351,0.0425531914893617,0.0175438596491228,0.833333333333333,0.037037037037037,0.764464352370287,TRUE,0.124113475177305,0.155945419103314
24,"La superficie había quedado marcada por la goma elegida.",0.714285714285714,0.75,0.0408163265306122,0.0833333333333333,0.416666666666667,0.233333333333333,0.0357142857142857,FALSE,0.297619047619048,0.516666666666667
25,"A pesar de todo no era posible encontrar la raíz que estaban buscando.",0.433333333333333,0.342105263157895,0.233333333333333,0.342105263157895,0.303571428571429,0.410714285714286,0.0912280701754386,TRUE,0.129761904761905,-0.068609022556391
26,"No estaba conforme con el cuarto que le había tocado.",0.0784313725490196,0.968253968253968,0.0784313725490196,0.0317460317460317,0,0.896551724137931,0.889822595704949,TRUE,0.0784313725490196,0.0717022441160372
27,"Esa noche Rodrigo se encontró en el medio%2C sin saber qué hacer.",0,0.677966101694915,0.372093023255814,0.305084745762712,0.0392156862745098,0.549019607843137,0.677966101694915,TRUE,-0.0392156862745098,0.128946493851778
28,"Andrea miró su cuenta y no tenía los valores que esperaba.",0.304347826086957,0.859649122807018,0,0.0350877192982456,0.160714285714286,0.732142857142857,0.555301296720061,FALSE,0.143633540372671,0.12750626566416
